DATAYEAR,MONTH,UTILITYNUMBER,NETSUMMERCAPACITY(MW),NETWINTERCAPACITY(MW),NAMEPLATECAPACITY(MW),is_coal,is_geothermal,is_hydroelectric,is_natural_gas,is_nuclear,is_oil,is_other/unreported,is_solar,is_wind,MW_COAL,MW_GEOTHERMAL,MW_HYDROELECTRIC,MW_NATURAL_GAS,MW_NUCLEAR,MW_OIL,MW_OTHER,MW_SOLAR,MW_WIND,TOTALREVENUE,TOTALSALES,TOTALCUSTOMERS
2016,1,11241,11624.699999999997,11624.699999999997,11624.699999999997,0.020833333333333332,0.0,0.0,0.875,0.041666666666666664,0.0625,0.0,0.0,0.0,537.1,0.0,0.0,8716.400000000001,2132.8,238.39999999999998,0.0,0.0,0.0,275345.2070000002,4445206.131000004,1063748
2016,1,11249,4821.3,4821.3,4821.3,0.20689655172413793,0.0,0.27586206896551724,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,2715.0,0.0,60.0,2046.3,0.0,0.0,0.0,0.0,0.0,90424.0,980075.0,403894
2016,1,11251,48.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,7870.0,108223.0,19210
2016,1,11273,3.1999999999999997,3.1999999999999997,3.1999999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,5945.0,103048.0,26920
2016,1,11479,428.5,428.5,428.5,0.0,0.0,0.0,0.7857142857142857,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,374.1,0.0,49.7,0.0,0.0,4.7,34094.0,277386.0,157023
2016,1,11804,2.6,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,143329.07,697839.803,888561
2016,1,11824,165.0,165.0,165.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,13284.651000000002,72449.179,61939
2016,1,11843,256.5,256.5,256.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.5,0.0,0.0,0.0,25870.26399999999,93740.17299999997,70589
2016,1,12199,512.2,512.2,512.2,0.21428571428571427,0.0,0.0,0.2857142857142857,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,157.4,0.0,0.0,186.5,0.0,6.0,5.3,0.0,157.0,28361.0,325519.0,142431
2016,1,12341,8775.0,8775.0,8775.0,0.07766990291262135,0.0,0.038834951456310676,0.2815533980582524,0.0,0.27184466019417475,0.0,0.0,0.3300970873786408,3950.5,0.0,3.2,1278.3,0.0,56.0,0.0,0.0,3487.0,121063.13399999976,2013250.5509999993,757291
2016,1,12524,90.80000000000001,90.80000000000001,90.80000000000001,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,86.80000000000001,0.0,4.0,0.0,0.0,0.0,12330.759,118042.47200000001,50443
2016,1,12647,2046.4999999999998,2046.4999999999998,2046.4999999999998,0.15384615384615385,0.0,0.6346153846153846,0.0,0.0,0.019230769230769232,0.07692307692307693,0.0,0.11538461538461539,1325.4,0.0,112.3,0.0,0.0,0.8,86.19999999999999,0.0,521.8,43904.86500000002,726772.4250000002,144912
2016,1,12685,2972.0000000000005,2972.0000000000005,2972.0000000000005,0.0,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2962.9000000000005,0.0,9.1,0.0,0.0,0.0,89179.625,1021580.4910000003,444672
2016,1,12686,3647.2,3647.2,3647.2,0.17391304347826086,0.0,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,1726.0,0.0,0.0,1921.2,0.0,0.0,0.0,0.0,0.0,66043.0,813158.0,187075
2016,1,12745,392.9999999999999,392.9999999999999,392.9999999999999,0.0,0.0,0.13333333333333333,0.8,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,2.8,334.19999999999993,0.0,56.0,0.0,0.0,0.0,25470.601000000006,189980.43900000007,118027
2016,1,12796,1098.0,1098.0,1098.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98887.373,1087812.689,389905
2016,1,12866,1.2,1.2,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,6694.129000000001,103539.39499999999,19222
2016,1,13206,5.199999999999999,5.199999999999999,5.199999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199999999999999,0.0,0.0,0.0,1982.464,9842.251,12146
